# Entity simple name<TAB>owning Feature
GmsBrand	gms
GmsGoods	gms
GmsGoodsCategory	gms
GmsGoodsCombo	gms
GmsInventoryDoc	gms
GmsInventoryDocItem	gms
GmsInventoryOrder	gms
GmsInventoryOrderDetail	gms
GmsMemberTransaction	ums
GmsStockLog	gms
OmsDailySummary	home
OmsOrder	trade
OmsOrderDetail	trade
OmsOrderLog	trade
OmsOrderPay	trade
PosCouponRule	ums
PosMemberCoupon	ums
PosMemberLevel	ums
PosSkuLevelPrice	gms
Provinces	sys
SysBrandConfig	sys
SysPrintConfig	sys
SysStrategy	sys
UmsMember	ums
UmsMemberBrandLevel	ums
UmsMemberLog	ums
UmsRechargeOrder	ums
